,edges,edge_labels,query_edge,query_label
0,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
1,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
2,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
3,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
4,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
5,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
6,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
7,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
8,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
9,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
10,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
11,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
12,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
13,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
14,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
15,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
16,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
17,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
18,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
19,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
20,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
21,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
22,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
23,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
24,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
25,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
26,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
27,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
28,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
29,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
30,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
31,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
32,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
33,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
34,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
35,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
36,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
37,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
38,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
39,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
40,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
41,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
42,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
43,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
44,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
45,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
46,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
47,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
48,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
49,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
50,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
51,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
52,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
53,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
54,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
55,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
56,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
57,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
58,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
59,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
60,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
61,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
62,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
63,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
64,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
65,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
66,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
67,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
68,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
69,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
70,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
71,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
72,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
73,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
74,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
